date,x,y,t
7/4/11 22:27,-69.255,30.101,7
7/5/11 0:00,-69.258,30.087,7
7/5/11 1:34,-69.242,30.094,7
7/6/11 4:47,-68.723,30.438,7
7/6/11 17:49,-68.667,30.672,7
7/6/11 17:49,-68.659,30.657,7
7/6/11 21:34,-68.597,30.701,7
7/6/11 22:00,-68.59,30.706,7
7/6/11 23:51,-68.629,30.705,7
7/7/11 0:45,-68.66,30.714,7
7/7/11 1:22,-68.663,30.719,7
7/7/11 7:58,-68.67,30.799,7
7/7/11 7:58,-68.656,30.818,7
7/7/11 17:40,-68.677,30.9,7
7/7/11 17:44,-68.615,30.892,7
7/7/11 21:19,-68.539,30.864,7
7/7/11 23:24,-68.519,30.884,7
7/7/11 23:24,-68.469,30.87,7
7/8/11 6:14,-68.404,30.919,7
7/8/11 9:35,-68.339,31.005,7
7/9/11 20:21,-67.905,31.49,7
7/10/11 7:23,-67.327,31.756,7
7/10/11 13:06,-67.172,31.89,7
7/11/11 12:16,-67.124,31.341,7
7/11/11 23:27,-66.844,31.539,7
7/12/11 1:12,-66.81,31.556,7
7/13/11 5:13,-65.983,31.87,7
7/13/11 22:41,-65.41,31.906,7
7/14/11 14:10,-65.857,31.79,7
7/16/11 0:58,-65.592,31.878,7
7/17/11 0:41,-65.042,32.022,7
7/17/11 20:27,-64.742,32.08,7
7/18/11 10:33,-63.902,32.514,7
7/18/11 14:21,-63.792,32.941,7
7/19/11 1:39,-63.371,33.426,7
7/19/11 5:45,-63.101,33.692,7
7/19/11 12:28,-63.096,33.442,7
7/22/11 10:38,-59.54,35.135,7
7/22/11 10:46,-59.84,35.56,7
7/23/11 8:24,-66.609,35.617,7
7/23/11 12:31,-66.611,35.616,7
7/23/11 21:35,-66.599,35.67,7
7/26/11 9:02,-65.747,35.641,7
7/26/11 10:39,-65.56,35.559,7
7/26/11 11:24,-65.731,35.636,7
7/26/11 19:18,-65.686,35.663,7
7/27/11 0:22,-65.744,35.735,7
7/27/11 0:33,-65.555,35.783,7
7/27/11 5:55,-65.534,35.826,7
7/27/11 6:03,-65.556,35.812,7
7/27/11 8:32,-65.549,35.844,7
7/27/11 10:13,-65.548,35.856,7
7/27/11 11:26,-65.54,35.934,7
7/27/11 14:38,-65.633,36.054,7
7/27/11 16:13,-65.644,36.102,7
7/27/11 19:57,-65.676,36.248,7
7/27/11 22:52,-65.747,36.35,7
7/28/11 0:14,-65.753,36.397,7
7/28/11 0:30,-65.756,36.407,7
7/28/11 9:57,-65.878,36.697,7
7/28/11 12:34,-65.808,36.746,7
7/28/11 13:00,-65.802,36.873,7
7/28/11 13:53,-65.806,36.913,7
7/28/11 14:19,-65.799,36.922,7
7/28/11 21:03,-65.799,36.923,7
7/28/11 22:41,-65.83,36.963,7
7/29/11 11:05,-65.794,37.443,7
7/29/11 11:06,-65.828,37.402,7
7/30/11 12:28,-65.913,38.336,7
7/30/11 14:08,-65.918,38.138,7
7/30/11 14:49,-65.918,38.149,7
8/1/11 2:14,-65.8,38.389,8
8/1/11 12:18,-65.904,38.858,8
8/1/11 19:56,-65.947,39.039,8
8/2/11 15:53,-65.894,38.876,8
8/2/11 18:05,-65.768,38.578,8
8/2/11 18:10,-65.727,38.425,8
8/2/11 20:47,-65.405,38.293,8
8/2/11 23:16,-65.098,38.295,8
8/2/11 23:17,-64.927,38.43,8
8/3/11 0:53,-64.933,38.336,8
8/3/11 10:44,-63.423,38.572,8
8/3/11 11:32,-63.544,38.627,8
8/3/11 19:33,-63.685,38.938,8
8/3/11 23:28,-63.283,38.928,8
8/4/11 0:37,-63.171,38.924,8
8/4/11 12:53,-61.877,39.138,8
8/4/11 17:55,-61.177,39.137,8
8/4/11 21:41,-62.824,39.681,8
8/5/11 0:16,-62.823,39.682,8
8/5/11 0:35,-62.827,39.794,8
8/5/11 0:47,-62.826,39.802,8
8/5/11 8:18,-62.572,39.844,8
8/5/11 9:57,-62.183,40.092,8
8/5/11 11:18,-62.085,40.113,8
8/5/11 12:24,-62.06,40.118,8
8/5/11 13:03,-61.998,40.144,8
8/5/11 13:03,-62.003,40.146,8
8/6/11 0:25,-61.382,40.242,8
8/6/11 0:26,-61.4,40.242,8
8/6/11 12:04,-61.131,39.699,8
8/6/11 14:25,-61.069,39.659,8
8/6/11 17:35,-61.154,39.485,8
8/6/11 21:42,-61.06,39.405,8
8/7/11 17:04,-60.485,39.265,8
8/7/11 17:20,-60.485,39.265,8
8/8/11 7:03,-60.103,39.052,8
8/8/11 7:04,-59.951,39.08,8
8/8/11 7:18,-59.934,39.077,8
8/8/11 8:40,-59.884,39.062,8
8/9/11 9:58,-58.785,38.573,8
8/9/11 10:35,-58.75,38.584,8
